Division ID,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd1 Rating,Rd1 Layout,Rd2,Rd2 Rating,Rd2 Layout,Rd3,Rd3 Rating,Rd3 Layout,Total
MA3,11,12.00,Ian MacDougall (dingle),,,+66,81,756,62,90,724,62,81,784,62,252
MA3,12,9.00,Shaun MacEachen,239209,,+105,94,637,62,99,648,62,98,636,62,291
MA3,13,0.00,Laura Fyfe,150220,802,,70,856,62,85,766,62,999,,62,DNF
MA3,13,0.00,Ally Pollock,,,,93,646,62,110,555,62,999,,62,DNF
FA3,1,4.50,Roisin Kelly,,,+100,93,646,62,96,673,62,97,645,62,286
FA3,2,0.00,Rhia Edwards,245899,,,101,573,62,129,394,62,999,,62,DNF
FA3,3,0.00,Tandala MacRae,177592,718,,77,792,62,999,,62,999,,62,DNF
MJ18,1,4.00,Connor Mackenzie,,+56,78,783,86,62,758,78,62,810,242,62,
MJ18,2,0.00,Benny Sood,245564,,74,820,82,62,791,999,62,,DNF,62,
FJ18,1,4.00,Jessica Clegg,155503,482,+147,102,564,62,113,529,62,118,462,62,333
FJ18,2,0.00,Ollie Henderson,191819,435,,125,354,62,999,,62,999,,62,DNF

Event: The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour
MPO,1,15.00,Scott Stokely,3140,1009,-33,55,1034,66,56,1026,66,54,1043,66,165
MPO,2,10.00,Iain McDougall,17038,966,-10,64,958,66,67,933,66,57,1017,66,188
MPO,3,5.00,John Bruce,8845,951,-1,66,942,66,69,916,66,62,975,66,197
MP40,1,12.00,Woodstock Harding,8553,880,+6,70,908,66,70,908,66,64,958,66,204
MP40,2,8.00,Paul Stoddart,8893,920,+12,71,899,66,72,891,66,67,933,66,210
MP40,3,4.00,Craig Pettitt,62164,902,+20,73,883,66,75,866,66,70,908,66,218
MA1,1,55.00,Liam Pitt,184606,954,-3,65,950,66,62,975,66,68,925,66,195
MA1,2,50.00,Grant Snowden,210541,946,-2,67,933,66,63,967,66,66,942,66,196
MA1,2,50.00,Michael Sharkey,113299,959,-2,66,942,66,64,958,66,66,942,66,196
MA1,4,40.00,Gareth Vickers,145509,901,+1,69,916,66,67,933,66,63,967,66,199
MA1,5,35.00,Niall Millband,169766,920,+2,68,925,66,68,925,66,64,958,66,200
MA1,6,30.00,Florian Koralambe,163585,920,+4,64,958,66,69,916,66,69,916,66,202
MA1,7,25.00,Alan Davidson,107583,900,+6,71,899,66,68,925,66,65,950,66,204
MA1,8,20.00,Luke Dodd Adkins,182987,881,+7,67,933,66,69,916,66,69,916,66,205
MA1,9,15.00,Adam Mackrory,112073,920,+11,74,874,66,71,899,66,64,958,66,209
MA1,9,15.00,Bella Tait,162697,914,+11,74,874,66,66,942,66,69,916,66,209
MA1,11,5.00,Zaki Naqvi,131871,915,+16,71,899,66,68,925,66,75,866,66,214
FA1,1,9.00,Elva-Kate Preston,184609,849,+26,79,832,66,69,916,66,76,857,66,224
FA1,2,6.00,Natalie Eykyn,184608,859,+32,75,866,66,79,832,66,76,857,66,230
FA1,3,3.00,Melodie Zehnder,199309,837,+43,84,790,66,76,857,66,81,815,66,241
MA40,1,20.00,Richard Hooper,60480,917,+12,70,908,66,67,933,66,73,883,66,210
MA40,2,16.00,Jon Cicuttin,79634,870,+17,73,883,66,73,883,66,69,916,66,215
MA40,2,16.00,Paul Waite,167864,893,+17,68,925,66,78,840,66,69,916,66,215
MA40,2,16.00,Jack Goolden,117107,924,+17,69,916,66,75,866,66,71,899,66,215
MA40,5,4.00,Christopher Staddon,222110,601,+104,101,646,66,103,629,66,98,672,66,302
MA50,1,6.00,Tim Herring,8819,806,+55,85,781,66,84,790,66,84,790,66,253
MA50,2,0.00,Marek Nowak,100631,795,,999,,66,,,66,,,66,DNF
MA2,1,24.00,Daniel Bowles,157050,899,E,69,916,66,66,942,66,63,967,66,198
MA2,2,20.00,Scott Jenkins,165627,885,+14,67,933,66,71,899,66,74,874,66,212
MA2,3,16.00,Johnnie Symington-Mauro,204067,896,+20,73,883,66,74,874,66,71,899,66,218
MA2,3,16.00,Chris Malmgard,117775,893,+20,73,883,66,73,883,66,72,891,66,218
MA2,5,8.00,Zvi Teff,50955,862,+23,73,883,66,72,891,66,76,857,66,221
MA2,6,4.00,Alun Pinder,142500,905,+25,80,823,66,70,908,66,73,883,66,223
FA2,1,2.00,Rachel Ireland-Jones,150733,795,+65,80,823,66,89,748,66,94,705,66,263
MA3,1,15.00,Iestyn Crompton,209718,843,+16,68,925,66,71,899,66,75,866,66,214
MA3,2,12.00,Jake Clarke,233494,851,+25,77,849,66,70,908,66,76,857,66,223
MA3,3,9.00,Byron Humphries,184659,859,+28,77,849,66,75,866,66,74,874,66,226
MA3,4,6.00,Jordon Venables,217366,830,+35,81,815,66,78,840,66,74,874,66,233
MA3,5,3.00,KJ Phillips,173921,822,+37,78,840,66,77,849,66,80,823,66,235
FA3,1,1.50,Ophelia Byrne,202560,755,+80,92,722,66,94,705,66,92,722,66,278
MA4,1,4.00,Ben Ramsay,156841,839,+53,85,781,66,84,790,66,82,807,66,251
MA4,2,2.00,Mike Bowles,228187,670,+76,95,697,66,89,748,66,90,739,66,274
MJ18,1,2.00,Zac Bowles,228189,757,+66,93,714,66,84,790,66,87,764,66,264

Event: Bluebell Woods Pro/Am presented by Dynamic Discs - All Am
MA1,1,45.00,Ben Heywood,144476,930,-3,60,960,63,63,933,63,123,,,
MA1,2,40.00,Tiffany Strandbygaard,144811,873,E,63,933,63,63,933,63,126,,,
MA1,2,40.00,Ben Preston,144400,936,E,62,942,63,64,924,63,126,,,
MA1,4,30.00,Sami Havuluoto,112593,940,+3,61,951,63,68,889,63,129,,,
MA1,4,30.00,Fergus McLean,176700,910,+3,61,951,63,68,889,63,129,,,
MA1,6,20.00,Iain McGarrity,116589,930,+6,63,933,63,69,880,63,132,,,
MA1,7,15.00,Ross MacSporran,180534,899,+9,66,907,63,69,880,63,135,,,
MA1,8,10.00,Peter Dagen,,,+14,70,871,63,70,871,63,140,,,
MA1,9,5.00,Nathan Cox,244831,852,+20,70,871,63,76,818,63,146,,,
MA40,1,32.00,Andrew Finlay,80128,913,+2,63,933,63,65,916,63,128,,,
MA40,2,28.00,Graham McGill,171402,890,+5,65,916,63,66,907,63,131,,,
MA40,3,24.00,Paul Hodgson,80099,901,+6,66,907,63,66,907,63,132,,,
MA40,4,20.00,Lloyd Wells,201061,891,+9,66,907,63,69,880,63,135,,,
MA40,5,16.00,David Wilson,203788,876,+13,68,889,63,71,862,63,139,,,
MA40,6,12.00,Robert Ng,124381,890,+16,73,845,63,69,880,63,142,,,
MA40,6,12.00,Ross Brown,239336,808,+16,71,862,63,71,862,63,142,,,
MA40,8,4.00,David Faithfull,121935,841,+21,69,880,63,78,800,63,147,,,
MA50,1,9.00,Euan Pettitt,58203,883,+6,55,888,59,73,845,63,128,,,
MA50,2,6.00,Richard Clegg,8828,830,+8,57,863,59,73,845,63,130,,,
MA50,3,3.00,Paul Molloy,116914,846,+14,61,814,59,75,827,63,136,,,
MA2,1,24.00,Callum Taylor,253060,,-1,65,916,63,60,960,63,125,,,
MA2,2,20.00,Jack Edgar,173197,900,+7,67,898,63,66,907,63,133,,,
MA2,3,16.00,Kyle Roderick,203687,872,+12,66,907,63,72,854,63,138,,,
MA2,4,12.00,Ewan Penman,205573,898,+15,70,871,63,71,862,63,141,,,
MA2,5,8.00,Cole Hamilton,107940,882,+16,74,836,63,68,889,63,142,,,
MA2,6,4.00,Joshua Black,124778,835,+19,76,818,63,69,880,63,145,,,
MA3,1,69.00,James McHardy,230214,871,+2,55,888,59,69,880,63,124,,,
MA3,2,66.00,Hamish Dickson,228357,774,+2,59,839,59,65,916,63,124,,,
MA3,3,63.00,Stuart Lockhart,228359,685,+3,56,876,59,69,880,63,125,,,
MA3,4,60.00,Ryan Junor,228334,742,+10,57,863,59,75,827,63,132,,,
MA3,4,60.00,Laura Fyfe,150220,802,+10,54,900,59,78,800,63,132,,,
MA3,6,54.00,Andrea Trevisan,,,+11,58,851,59,75,827,63,133,,,
MA3,7,51.00,Gus Rochester,169989,870,+12,58,851,59,76,818,63,134,,,
MA3,7,51.00,Jason Glen,226786,786,+12,57,863,59,77,809,63,134,,,
MA3,9,45.00,John Hood,113996,864,+13,64,778,59,71,862,63,135,,,
MA3,9,45.00,Peter Morrison,188781,861,+13,64,778,59,71,862,63,135,,,
MA3,9,45.00,Taran Fiddes,,,+13,61,814,59,74,836,63,135,,,
MA3,12,36.00,Danny Glen,226281,797,+14,62,802,59,74,836,63,136,,,
MA3,13,33.00,James Clark,120496,816,+18,62,802,59,78,800,63,140,,,
MA3,13,33.00,Cameron Greig,232353,753,+18,57,863,59,83,756,63,140,,,
MA3,15,27.00,Daniel Storm,,,+19,59,839,59,82,765,63,141,,,
MA3,15,27.00,Euan Boyle,228348,756,+19,58,851,59,83,756,63,141,,,
MA3,17,21.00,Tom Warren,218623,755,+20,62,802,59,80,783,63,142,,,
MA3,18,18.00,Johnny Warren,220307,759,+21,63,790,59,80,783,63,143,,,
MA3,19,15.00,Dakota Timmer,204218,785,+22,64,778,59,80,783,63,144,,,
MA3,19,15.00,Benjamin Martin,165330,842,+22,61,814,59,83,756,63,144,,,
MA3,21,9.00,Marta Orzechowski,,,+27,66,753,59,83,756,63,149,,,
MA3,22,6.00,Mathew Miller,,,+28,69,716,59,81,774,63,150,,,
MA3,23,0.00,Peter O'Brien,174236,840,,57,863,59,999,,63,DNF,,,
MA4,1,12.00,Callum Girdwood,252442,,-5,60,827,59,53,912,59,113,,,
MA4,2,10.00,Ross Johnstone,257408,,-2,59,839,59,57,863,59,116,,,
MA4,3,8.00,Richard Beaumont,252556,789,E,57,863,59,61,814,59,118,,,
MA4,4,6.00,Thomas Dunn,257437,,+7,58,851,59,67,741,59,125,,,
MA4,5,4.00,Roisin Kelly,,,+23,74,655,59,67,741,59,141,,,
MA4,6,2.00,Shaun MacEachen,239209,,+25,74,655,59,69,716,59,143,,,
MJ08,1,0.50,Maverick Beaumont,252560,556,+55,85,520,59,88,484,59,173,,,

Event: Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO
MPO,1,100.00,Rick Rick,37024,973,-18,52,1021,63,56,984,63,108,,,
MPO,2,95.00,John Bruce,8845,951,-15,52,1021,63,59,957,63,111,,,
MPO,3,90.00,Pete Dawson,8870,970,-13,59,957,63,54,1002,63,113,,,
MPO,4,85.00,Ben Heywood,144476,930,-8,58,966,63,60,948,63,118,,,
MPO,5,80.00,Sami Havuluoto,112593,940,+1,66,893,63,61,938,63,127,,,
MPO,5,80.00,Ewan Penman,205573,898,+1,65,902,63,62,929,63,127,,,
MPO,7,70.00,Kyle Roderick,203687,872,+3,65,902,63,64,911,63,129,,,
MPO,8,65.00,Jack Edgar,173197,900,+5,67,884,63,64,911,63,131,,,
MPO,9,60.00,Fergus McLean,176700,910,+7,66,893,63,67,884,63,133,,,
MPO,10,55.00,Nathan Cox,244831,852,+8,65,902,63,69,865,63,134,,,
MPO,10,55.00,Ben Preston,144400,936,+8,64,911,63,70,856,63,134,,,
MPO,12,45.00,Ross Brown,239336,808,+10,69,865,63,67,884,63,136,,,
MPO,13,40.00,Ross MacSporran,180534,899,+11,69,865,63,68,874,63,137,,,
MPO,14,35.00,Alan Davidson,107583,900,+15,71,847,63,70,856,63,141,,,
MPO,14,35.00,Hamish Dickson,228357,774,+15,70,856,63,71,847,63,141,,,
MPO,16,25.00,Gus Rochester,169989,870,+17,67,884,63,76,801,63,143,,,
MPO,17,20.00,Richard Beaumont,252556,789,+19,73,829,63,72,838,63,145,,,
MPO,18,15.00,Benjamin Martin,165330,842,+20,78,783,63,68,874,63,146,,,
MPO,19,10.00,John Hood,113996,864,+22,74,820,63,74,820,63,148,,,
MPO,20,5.00,Ryan Junor,228334,742,+34,83,738,63,77,792,63,160,,,
FPO,1,6.00,Tiffany Strandbygaard,144811,873,+3,67,884,63,62,929,63,129,,,
FPO,2,3.00,Laura Fyfe,150220,802,+23,76,801,63,73,829,63,149,,,
MJ08,1,0.50,Maverick Beaumont,252560,556,+98,113,464,63,111,482,63,224,,,

Event: Scottish Open 2023 presented by Latitude 64
MPO,1,60.00,Scott Stokely,3140,1013,-28,49,978,55,48,994,56,42,1063,56,139
MPO,2,55.00,Chris Smith,107706,972,-24,49,978,55,48,994,56,46,1017,56,143
MPO,3,50.00,Rick Rick,37024,976,-21,49,978,55,49,983,56,48,994,56,146
MPO,3,50.00,Pete Dawson,8870,970,-21,47,1001,55,51,960,56,48,994,56,146
MPO,3,50.00,Charlie O'Brien,52595,972,-21,50,966,55,45,1028,56,51,960,56,146
MPO,6,35.00,Daniel Mølbjerg Adderley,217805,948,-19,49,978,55,51,960,56,48,994,56,148
MPO,7,30.00,Yair Razin,108591,961,-15,50,966,55,54,925,56,48,994,56,152
MPO,8,25.00,Ben Preston,144400,926,-8,51,955,55,54,925,56,54,925,56,159
MPO,9,20.00,Jester Wilson,8817,957,-7,57,885,55,48,994,56,55,914,56,160
MPO,10,15.00,Ben Heywood,144476,933,-6,49,978,55,59,868,56,53,937,56,161
MPO,11,10.00,Fergus Bolton,177232,893,-4,54,920,55,56,903,56,53,937,56,163
MPO,12,5.00,Sami Havuluoto,112593,937,-3,53,931,55,56,903,56,55,914,56,164
MA1,1,90.00,Asim Ali,133094,930,-16,49,978,55,52,948,56,50,971,56,151
MA1,2,85.00,Graham Robbie,62324,885,-7,54,920,55,53,937,56,53,937,56,160
MA1,3,80.00,Iain McGarrity,116589,926,-6,56,896,55,54,925,56,51,960,56,161
MA1,4,75.00,Seamus Scanlon,11756,911,-3,53,931,55,56,903,56,55,914,56,164
MA1,5,70.00,Tiffany Strandbygaard,144811,885,-1,56,896,55,59,868,56,51,960,56,166
MA1,6,65.00,Fergus McLean,176700,909,E,55,908,55,60,857,56,52,948,56,167
MA1,6,65.00,Robbie Reekie,67553,918,E,52,943,55,60,857,56,55,914,56,167
MA1,8,55.00,David Lindsay,218208,888,+1,58,873,55,58,880,56,52,948,56,168
MA1,8,55.00,Christopher Burrows,144470,892,+1,57,885,55,58,880,56,53,937,56,168
MA1,10,45.00,Ben Bolton,179709,881,+2,56,896,55,59,868,56,54,925,56,169
MA1,11,40.00,Phil Kirby,243795,,+3,55,908,55,59,868,56,56,903,56,170
MA1,12,35.00,Callum Taylor,253060,938,+7,60,850,55,56,903,56,58,880,56,174
MA1,12,35.00,Alan Davidson,107583,898,+7,59,861,55,56,903,56,59,868,56,174
MA1,14,25.00,Ross MacSporran,180534,894,+8,60,850,55,55,914,56,60,857,56,175
MA1,15,20.00,Laurence Jordan,120349,883,+9,60,850,55,58,880,56,58,880,56,176
MA1,16,15.00,Cole Hamilton,107940,888,+10,55,908,55,62,834,56,60,857,56,177
MA1,17,10.00,Rachel Shanks,143341,851,+21,64,803,55,63,823,56,61,845,56,188
MA1,18,5.00,Nathan Cox,244831,860,+26,65,792,55,62,834,56,66,788,56,193
MA40,1,8.00,Graham McGill,171402,891,-1,54,920,55,55,914,56,57,891,56,166
MA40,2,4.00,Lloyd Wells,201061,891,-1,52,943,55,50,971,56,64,811,56,166
MA50,1,18.00,Euan Pettitt,58203,883,+9,58,873,55,59,868,56,59,868,56,176
MA50,2,15.00,Paul Molloy,116914,842,+16,58,873,55,64,811,56,61,845,56,183
MA50,3,12.00,Peter Keightley,146860,826,+18,60,850,55,63,823,56,62,834,56,185
MA50,4,9.00,Richard Clegg,8828,832,+27,65,792,55,62,834,56,67,777,56,194
MA50,5,6.00,Hugh Watson,230206,814,+31,64,803,55,66,788,56,68,765,56,198
MA50,6,3.00,David Green,254489,,+37,65,792,55,74,697,56,65,800,56,204
MA2,1,36.00,Stephen Coulter,183670,891,+5,61,838,55,56,903,56,55,914,56,172
MA2,2,32.00,Andrew Coulter,184370,855,+6,55,908,55,60,857,56,58,880,56,173
MA2,3,28.00,Daniel Morgan,140118,883,+7,61,838,55,55,914,56,58,880,56,174
MA2,4,24.00,Peter Campbell,180867,852,+9,62,827,55,59,868,56,55,914,56,176
MA2,5,20.00,John Clark,148952,866,+11,58,873,55,58,880,56,62,834,56,178
MA2,6,16.00,Tony Deebank,171338,872,+16,59,861,55,61,845,56,63,823,56,183
MA2,7,12.00,Callum Beattie,147378,858,+19,59,861,55,64,811,56,63,823,56,186
MA2,8,8.00,Alec Sloan,183487,864,+24,60,850,55,65,800,56,66,788,56,191
MA2,9,4.00,Adrian Sorin Mutei,239072,836,+30,59,861,55,71,731,56,67,777,56,197
MA3,1,51.00,Luke Harrison,255528,841,+5,58,873,55,61,845,56,53,937,56,172
MA3,2,48.00,John Hood,113996,844,+11,58,873,55,59,868,56,61,845,56,178
MA3,3,45.00,Ryan Junor,228334,783,+16,60,850,55,64,811,56,59,868,56,183
MA3,4,42.00,Laura Fyfe,150220,805,+18,62,827,55,64,811,56,59,868,56,185
MA3,5,39.00,Jason Glen,226786,805,+22,62,827,55,64,811,56,63,823,56,189
MA3,5,39.00,Stuart Lockhart,228359,802,+22,68,757,55,57,891,56,64,811,56,189
MA3,5,39.00,Alan Young,147379,846,+22,62,827,55,62,834,56,65,800,56,189
MA3,8,30.00,Hamish Dickson,228357,798,+25,64,803,55,64,811,56,64,811,56,192
MA3,9,27.00,Peter Morrison,188781,850,+28,64,803,55,65,800,56,66,788,56,195
MA3,10,24.00,Euan Boyle,228348,762,+31,66,780,55,63,823,56,69,754,56,198
MA3,11,21.00,Christopher Elfick,257421,,+33,61,838,55,73,708,56,66,788,56,200
MA3,12,18.00,David Green,240537,,+36,65,792,55,69,754,56,69,754,56,203
MA3,13,15.00,Jamie Wells,,,+37,60,850,55,70,742,56,74,697,56,204
MA3,14,12.00,Cammy Greig,232353,781,+38,67,768,55,70,742,56,68,765,56,205
MA3,15,0.00,Dakota Timmer,204218,777,,64,803,55,72,720,56,999,,56,DNF
MA3,16,0.00,Ross Brown,239336,848,,999,,55,999,,56,59,868,56,DNF
MA3,16,0.00,Kristopher Glen,228499,796,,999,,55,65,800,56,999,,56,DNF
MJ18,1,2.00,Benny Sood,245564,813,+5,54,920,55,57,891,56,61,845,56,172

Event: Caledonian Open
MPO,1,20.00,Pete Dawson,8870,970,-15,52,969,57,52,969,57,52,969,57,156
MPO,2,15.00,Rick Rick,37024,976,-13,54,948,57,54,948,57,50,990,57,158
MPO,2,15.00,Sami Havuluoto,112593,937,-13,49,1001,57,56,926,57,53,958,57,158
MPO,4,5.00,Ben Heywood,144476,933,-5,53,958,57,55,937,57,58,905,57,166
MP40,1,4.00,Jester Wilson,8817,957,-4,60,884,57,52,969,57,55,937,57,167
MA1,1,15.00,Fergus McLean,176700,909,-1,56,926,57,58,905,57,56,926,57,170
MA1,2,10.00,Tiffany Strandbygaard,144811,885,+1,59,894,57,57,916,57,56,926,57,172
MA1,3,5.00,Alan Davidson,107583,898,+11,63,852,57,62,862,57,57,916,57,182
MA40,1,16.00,Lloyd Wells,201061,891,+2,57,916,57,58,905,57,58,905,57,173
MA40,2,12.00,Trevor Bechtel,8805,894,+4,55,937,57,60,884,57,60,884,57,175
MA40,3,8.00,Patrick Kipfmiller,243194,,+26,69,788,57,65,830,57,63,852,57,197
MA40,4,4.00,Richard Beaumont,252556,813,+35,68,799,57,63,852,57,75,724,57,206
MA60,1,8.00,Peter Keightley,146860,826,+24,72,756,57,63,852,57,60,884,57,195
MA60,2,6.00,Anthony Jackson,228139,771,+26,72,756,57,64,841,57,61,873,57,197
MA60,3,4.00,Stuart Bell,58685,858,+27,67,809,57,66,820,57,65,830,57,198
MA60,4,2.00,Eric Turton,224750,765,+33,71,767,57,68,799,57,65,830,57,204
MA2,1,48.00,Jack Edgar,173197,899,+3,66,820,57,52,969,57,56,926,57,174
MA2,2,44.00,Ewan Penman,205573,890,+7,59,894,57,63,852,57,56,926,57,178
MA2,3,40.00,Thomas Wells,237667,868,+12,64,841,57,59,894,57,60,884,57,183
MA2,3,40.00,Neil Owen,261886,,+12,56,926,57,66,820,57,61,873,57,183
MA2,5,32.00,Cole Hamilton,107940,888,+13,59,894,57,67,809,57,58,905,57,184
MA2,5,32.00,Jon Luke Henderson,237660,861,+13,64,841,57,60,884,57,60,884,57,184
MA2,7,24.00,Kyle Roderick,203687,879,+15,64,841,57,59,894,57,63,852,57,186
MA2,7,24.00,John Clark,148952,866,+15,62,862,57,60,884,57,64,841,57,186
MA2,9,16.00,Sanyam McNie,171513,896,+17,63,852,57,63,852,57,62,862,57,188
MA2,10,12.00,Theodore Olsen,74704,876,+18,59,894,57,68,799,57,62,862,57,189
MA2,11,8.00,Adrian Sorin Mutei,239072,836,+30,68,799,57,67,809,57,66,820,57,201
MA2,12,4.00,Callum Beattie,147378,858,+36,67,809,57,70,777,57,70,777,57,207
