Name,Division ID,Event,Adjusted Total,rank,Quaich Tour Points
Ben Heywood,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,123.0,1.0,100
Ben Heywood,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,118.0,4.0,86
Ben Heywood,MPO,Scottish Open 2023 presented by Latitude 64,161.0,12.0,98
Ben Heywood,MPO,Caledonian Open,166.0,4.0,112
Ben Heywood,MP40,Highland Open,224.0,3.0,92
Ben Heywood,MP40,The Perthshire Open,112.0,5.0,84
Ben Heywood,MPO,North Fife Open,209.0,6.0,100
Ben Heywood,MPO,The Social at Bluebell Woods presented by Latitude 64,125.0,4.0,94
Ben Heywood,MPO,BIRN Amateur Championships ,108.0,3.0,95
Ben Heywood,MPO,RRR : Rosshall-Ruchill Rumble 2023,110.0,11.0,79
Ben Heywood,MP40,Scottish National Championships,195.0,11.0,98
Ben Heywood,MP40,GGO: Glasgow GIAB Open 2023,170.0,13.0,73
Ben Heywood,MPO,Scottish Matchplay Championships - Ides of Match,4,4.0,92
Ben Matthews,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf,181.0,6.0,85
Ben Matthews,MPO,The Irish Open '23,182.0,5.0,109
Ben Preston,MPO,Scottish Matchplay Championships - Ides of Match,2,2.0,97
Ben Preston,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,126.0,3.0,96
Ben Preston,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,134.0,11.0,54
Ben Preston,MPO,Scottish Open 2023 presented by Latitude 64,159.0,9.0,104
Ben Preston,MPO,The Irish Open '23,185.0,7.0,104
Ben Preston,MPO,RRR : Rosshall-Ruchill Rumble 2023,104.0,3.0,95
Ben Preston,MPO,Scottish National Championships,183.0,3.0,115
Ben Ramsay,MA4,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,251.0,36.0,20
Benjamin Martin,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,291.0,49.0,13
Benjamin Martin,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,146.0,19.0,19
Benjamin Smith,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf,177.0,3.0,94
Benny Sood,MJ18,Farewell Fanmore ,1998.0,38.0,23
Benny Sood,MJ18,Scottish Open 2023 presented by Latitude 64,172.0,26.0,73
Benny Sood,MA2,The Perthshire Open,116.0,13.0,54
Benny Sood,MA2,BIRN Amateur Championships ,125.0,26.0,41
Benny Sood,MA2,RRR : Rosshall-Ruchill Rumble 2023,125.0,28.0,44
Benny Sood,MA2,GGO: Glasgow GIAB Open 2023,178.0,20.0,58
Brendan McCauley,MA50,GGO: Glasgow GIAB Open 2023,209.0,45.0,3
Brian Rainey,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf,419.0,25.0,30
Brian Rainey,MA60,The Irish Open '23,461.0,41.0,20
Brian Rainey,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,132.0,30.0,26
Bronagh Murray,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf,447.0,28.0,21
Bronagh Murray,MA4,The Irish Open '23,479.0,43.0,15
Bronagh Murray,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,141.0,34.0,16
Byron Humphries,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,226.0,31.0,34
Callum Beattie,MA2,Farewell Fanmore ,1998.0,38.0,23
Callum Beattie,MA2,Scottish Open 2023 presented by Latitude 64,186.0,45.0,37
Callum Beattie,MA2,Caledonian Open,207.0,43.0,27
Callum Beattie,MA2,The Social at Bluebell Woods presented by Latitude 64,270.0,29.0,46
Callum Beattie,MA2,RRR : Rosshall-Ruchill Rumble 2023,129.0,37.0,25
Callum Beattie,MA2,Scottish National Championships,226.0,32.0,56
Callum Beattie,MA2,GGO: Glasgow GIAB Open 2023,189.0,35.0,25
Callum Girdwood,MA4,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,263.0,24.0,58
Callum Girdwood,MA3,The Social at Bluebell Woods presented by Latitude 64,270.0,29.0,46
Callum Girdwood,MA3,BIRN Amateur Championships ,116.0,10.0,78
Callum Girdwood,MA3,RRR : Rosshall-Ruchill Rumble 2023,126.0,32.0,36
Callum Girdwood,MA3,Scottish National Championships,441.0,45.0,28
Callum Taylor,MPO,Scottish Matchplay Championships - Ides of Match,29,29.0,58
Callum Taylor,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,125.0,2.0,98
Callum Taylor,MA1,Scottish Open 2023 presented by Latitude 64,174.0,30.0,66
Callum Taylor,MA2,North Fife Open,217.0,8.0,93
Callum Taylor,MA2,BIRN Amateur Championships ,112.0,6.0,88
Callum Taylor,MA1,Scottish National Championships,211.0,21.0,78
Callum Taylor,MA2,GGO: Glasgow GIAB Open 2023,160.0,5.0,91
Cammy Greig,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,287.0,43.0,24
Cammy Greig,MA3,Scottish Matchplay Championships - Ides of Match,60,60.0,19
Cammy Greig,MA3,Scottish Open 2023 presented by Latitude 64,205.0,62.0,6
Cammy Greig,MA4,Scottish National Championships,1998.0,54.0,10
Carl Roderick,MPO,Scottish Matchplay Championships - Ides of Match,42,42.0,45
Carl Roderick,MA3,Farewell Fanmore ,248.0,30.0,40
Charlie Chalmers,MA4,Caledonian Open,218.0,45.0,22
Charlie Mead,MP60,Farewell Fanmore ,1998.0,38.0,23
Charlie O'Brien,MPO,Scottish Open 2023 presented by Latitude 64,146.0,3.0,115
Charlie O'Brien,MPO,Scottish National Championships,164.0,1.0,120
Charlie O'Brien,MPO,Scottish Matchplay Championships - Ides of Match,5,5.0,89
Chris Bell,MA4,The Social at Bluebell Woods presented by Latitude 64,277.0,41.0,23
Chris Bialecki,MA1,The Irish Open '23,217.0,19.0,74
Chris Bialecki,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,107.0,6.0,87
Chris Flyin’ O’Brien,MPO,Scottish National Championships,188.0,6.0,109
Chris Flyin’ O’Brien,MPO,Scottish Matchplay Championships - Ides of Match,6,6.0,86
Chris Malmgard,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,218.0,24.0,54
Chris Millar,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf,195.0,11.0,70
Chris Millar,MA1,The Irish Open '23,217.0,19.0,74
Chris Smith,MPO,Scottish Matchplay Championships - Ides of Match,8,8.0,81
Chris Smith,MPO,Scottish Open 2023 presented by Latitude 64,143.0,2.0,117
Chris Smith,MPO,The Perthshire Open,109.0,2.0,96
Chris Smith,MPO,GGO: Glasgow GIAB Open 2023,155.0,3.0,95
Chris Sweeney,MA1,The Irish Open '23,207.0,17.0,80
Christopher Burrows,MPO,Scottish Matchplay Championships - Ides of Match,15,15.0,73
Christopher Burrows,MA1,Scottish Open 2023 presented by Latitude 64,168.0,22.0,80
Christopher Burrows,MA1,The Irish Open '23,210.0,18.0,76
Christopher Burrows,MPO,RRR : Rosshall-Ruchill Rumble 2023,122.0,22.0,56
Christopher Elfick,MA3,Scottish Open 2023 presented by Latitude 64,200.0,58.0,13
Christopher Staddon,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,302.0,42.0,3
Clare Maguire,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf,539.0,32.0,9
Clare Maguire,MA4,The Irish Open '23,546.0,45.0,10
Cole Hamilton,MPO,Scottish Matchplay Championships - Ides of Match,19,19.0,73
Cole Hamilton,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,142.0,18.0,69
Cole Hamilton,MA1,Scottish Open 2023 presented by Latitude 64,177.0,37.0,52
Cole Hamilton,MA2,Caledonian Open,184.0,17.0,84
Cole Hamilton,MA2,The Perthshire Open,116.0,13.0,54
Cole Hamilton,MA2,BIRN Amateur Championships ,114.0,9.0,81
Cole Hamilton,MA1,Scottish National Championships,211.0,21.0,78
Colin Fieldsend,MA4,Caledonian Open,237.0,49.0,14
Connor Mackenzie,MJ18,Farewell Fanmore ,242.0,27.0,46
Corey Hanna,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf,495.0,31.0,12
Corey Hanna,FA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,152.0,37.0,8
Craig Pettitt,MP40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,218.0,24.0,54
Dakota Timmer,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,291.0,49.0,13
Dakota Timmer,MA3,Scottish Open 2023 presented by Latitude 64,1998.0,63.0,4
Dakota Timmer,MA4,The Social at Bluebell Woods presented by Latitude 64,257.0,14.0,75
Dakota Timmer,MPO,Scottish Matchplay Championships - Ides of Match,44,44.0,40
Daniel Bowles,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,198.0,7.0,102
Daniel Mølbjerg Adderley,MPO,Scottish Open 2023 presented by Latitude 64,148.0,6.0,110
Daniel Morgan,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf,184.0,7.0,82
Daniel Morgan,MA2,Scottish Open 2023 presented by Latitude 64,174.0,30.0,66
Daniel Morgan,MA1,The Irish Open '23,194.0,11.0,94
Daniel Morgan,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,101.0,2.0,97
Daniel Morgan,MA1,GGO: Glasgow GIAB Open 2023,182.0,28.0,40
Daniel Storm,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,288.0,45.0,20
Daniel Todd,MJ18,Caledonian Open,239.0,50.0,12
Danny Glen,MPO,Scottish Matchplay Championships - Ides of Match,43,43.0,42
Danny Glen,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,283.0,41.0,27
Danny Glen,MA3,Caledonian Open,187.0,22.0,73
Danny Glen,MA3,North Fife Open,249.0,26.0,26
Danny Glen,MA3,BIRN Amateur Championships ,130.0,35.0,19
Darroch Reid,MA40,North Fife Open,222.0,13.0,74
David Faithfull,MA2,Farewell Fanmore ,231.0,21.0,58
David Faithfull,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,147.0,23.0,60
David Finley,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf,403.0,20.0,44
David Finley,MA60,The Irish Open '23,426.0,34.0,37
David Finley,MA3,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,123.0,27.0,34
David Gilkinson,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,102.0,3.0,94
David Green,MA3,Scottish Open 2023 presented by Latitude 64,203.0,59.0,12
David Green Sr,MA50,Scottish Open 2023 presented by Latitude 64,204.0,60.0,9
David Lindsay,MA1,Scottish Open 2023 presented by Latitude 64,168.0,22.0,80
David Lindsay,MA1,The Perthshire Open,109.0,2.0,96
David Lindsay,MA1,GGO: Glasgow GIAB Open 2023,180.0,24.0,49
David Mckie,MA3,Farewell Fanmore ,248.0,30.0,40
David Wilson,MA40,Farewell Fanmore ,213.0,12.0,77
David Wilson,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,139.0,15.0,74
David Wilson,MA40,The Social at Bluebell Woods presented by Latitude 64,141.0,12.0,79
David Wilson,MA40,Scottish National Championships,219.0,31.0,57
Davie Graham,MA50,Farewell Fanmore ,273.0,34.0,31
Domenico Gioda,MA40,GGO: Glasgow GIAB Open 2023,208.0,44.0,5
Donna Stokes,FA40,The Social at Bluebell Woods presented by Latitude 64,284.0,46.0,14
Duffy .,MA3,Scottish National Championships,427.0,40.0,39
Dustin Keegan,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf,157.0,1.0,100
Eavan O’Brien,FA1,Battle on the Bann ‘23 in association with Flickline Disc golf,1998.0,33.0,6
Ellis Johnson,MJ18,North Fife Open,298.0,31.0,8
Elva-Kate Preston,FA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,224.0,30.0,37
Eric Turton,MA60,Caledonian Open,204.0,39.0,36
Eric Turton,MA60,Scottish National Championships,451.0,53.0,13
Eric Turton,MA60,GGO: Glasgow GIAB Open 2023,201.0,38.0,18
Euan Boyle,MPO,Scottish Matchplay Championships - Ides of Match,45,45.0,37
Euan Boyle,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,288.0,45.0,20
Euan Boyle,MA3,Scottish Open 2023 presented by Latitude 64,198.0,56.0,16
Euan Boyle,MA3,Caledonian Open,194.0,28.0,60
Euan Boyle,MA3,North Fife Open,272.0,30.0,12
Euan Boyle,MA3,The Social at Bluebell Woods presented by Latitude 64,273.0,35.0,35
Euan Boyle,MA3,BIRN Amateur Championships ,127.0,29.0,34
Euan Boyle,MA3,RRR : Rosshall-Ruchill Rumble 2023,125.0,28.0,44
Euan Boyle,MA3,Scottish National Championships,450.0,51.0,16
Euan Boyle,MA3,GGO: Glasgow GIAB Open 2023,187.0,32.0,31
Euan Pettitt,MA50,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,275.0,30.0,47
Euan Pettitt,MA50,Scottish Open 2023 presented by Latitude 64,176.0,34.0,57
Euan Pettitt,MA50,The Social at Bluebell Woods presented by Latitude 64,265.0,23.0,58
Euan Pettitt,MA50,BIRN Amateur Championships ,127.0,29.0,34
Euan Pettitt,MA50,Scottish National Championships,422.0,37.0,45
Eva Parker,FA3,The Social at Bluebell Woods presented by Latitude 64,289.0,48.0,10
Evan Vellis,MA2,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,121.0,22.0,46
Ewan Penman,MA2,Farewell Fanmore ,210.0,8.0,85
Ewan Penman,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,141.0,17.0,71
Ewan Penman,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,127.0,5.0,82
Ewan Penman,MA2,Caledonian Open,178.0,12.0,94
Ewan Penman,MA2,The Perthshire Open,113.0,6.0,80
Ewan Penman,MA2,North Fife Open,220.0,11.0,82
Ewan Penman,MA1,The Social at Bluebell Woods presented by Latitude 64,124.0,3.0,96
Ewan Penman,MA2,BIRN Amateur Championships ,110.0,4.0,92
Ewan Penman,MA1,RRR : Rosshall-Ruchill Rumble 2023,117.0,17.0,67
Ewan Penman,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,103.0,4.0,92
Ewan Penman,MA1,Scottish National Championships,194.0,10.0,100
Fergus Bolton,MPO,Scottish Matchplay Championships - Ides of Match,24,24.0,60
Fergus Bolton,MPO,Scottish Open 2023 presented by Latitude 64,163.0,14.0,94
Fergus McLean,MPO,Scottish Matchplay Championships - Ides of Match,16,16.0,71
Fergus McLean,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,129.0,6.0,91
Fergus McLean,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,133.0,10.0,59
Fergus McLean,MA1,Scottish Open 2023 presented by Latitude 64,167.0,20.0,84
Fergus McLean,MA1,Caledonian Open,170.0,6.0,108
Fergus McLean,MA1,Highland Open,228.0,5.0,84
Fergus McLean,MA1,North Fife Open,205.0,4.0,108
Fergus McLean,MA1,RRR : Rosshall-Ruchill Rumble 2023,105.0,5.0,91
Fergus McLean,MA1,Scottish National Championships,214.0,25.0,70
Fergus McLean,MA1,GGO: Glasgow GIAB Open 2023,167.0,11.0,78
Flora Rougvie,MPO,Scottish Matchplay Championships - Ides of Match,61,61.0,16
Flora Rougvie,FA3,Caledonian Open,251.0,52.0,7
Flora Rougvie,FA3,The Social at Bluebell Woods presented by Latitude 64,287.0,47.0,12
Flora Rougvie,FA2,RRR : Rosshall-Ruchill Rumble 2023,154.0,48.0,3
Florian Koralambe,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,202.0,10.0,93
FRENCHIE .,MA50,Scottish National Championships,438.0,44.0,31
FRENCHIE .,MA50,GGO: Glasgow GIAB Open 2023,183.0,29.0,38
Gareth Picton,MPO,Scottish Matchplay Championships - Ides of Match,39,39.0,42
Gareth Picton,MA4,The Social at Bluebell Woods presented by Latitude 64,250.0,13.0,77
Gareth Vickers,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,199.0,8.0,99
Gary Parr,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf,405.0,22.0,38
Gary Parr,MA60,The Irish Open '23,424.0,33.0,40
Gavin Devlin,MPO,Scottish Matchplay Championships - Ides of Match,54,54.0,24
Graham McGill,MPO,Scottish Matchplay Championships - Ides of Match,18,18.0,76
Graham McGill,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf,383.0,14.0,62
Graham McGill,MA40,Farewell Fanmore ,214.0,13.0,75
Graham McGill,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,131.0,8.0,87
Graham McGill,MA40,Scottish Open 2023 presented by Latitude 64,166.0,17.0,90
Graham McGill,MA40,The Perthshire Open,113.0,6.0,80
Graham McGill,MA40,The Social at Bluebell Woods presented by Latitude 64,132.0,9.0,84
Graham McGill,MA40,BIRN Amateur Championships ,120.0,15.0,67
Graham McGill,MA40,RRR : Rosshall-Ruchill Rumble 2023,114.0,15.0,71
Graham McGill,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,106.0,5.0,89
Graham McGill,MA40,Scottish National Championships,200.0,13.0,94
Graham McGill,MA40,GGO: Glasgow GIAB Open 2023,165.0,7.0,86
Graham Robbie,MPO,Scottish Matchplay Championships - Ides of Match,20,20.0,71
Graham Robbie,MA1,Scottish Open 2023 presented by Latitude 64,160.0,10.0,103
Graham Robbie,MP40,The Perthshire Open,118.0,16.0,42
Graham Robbie,MP40,GGO: Glasgow GIAB Open 2023,179.0,22.0,53
Grant Lopes,MA3,Farewell Fanmore ,244.0,28.0,44
Grant Lopes,MA3,The Perthshire Open,136.0,24.0,12
Grant Lopes,MA4,Scottish National Championships,412.0,34.0,51
Grant Snowden,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,196.0,4.0,110
Gus Rochester,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,281.0,36.0,37
Gus Rochester,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,143.0,17.0,27
Guy Bolton,MA3,The Perthshire Open,144.0,26.0,4
Hamish Dickson,MPO,Scottish Matchplay Championships - Ides of Match,53,53.0,27
Hamish Dickson,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,271.0,27.0,53
Hamish Dickson,MPO,Bluebell Woods Pro/Am presented by Dynamic Discs - MPO & FPO,141.0,15.0,37
Hamish Dickson,MA3,Scottish Open 2023 presented by Latitude 64,192.0,51.0,26
Hamish Dickson,MA3,The Social at Bluebell Woods presented by Latitude 64,273.0,35.0,35
Harry McCallum,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf,390.0,15.0,59
Harry McCallum,MA2,The Irish Open '23,413.0,25.0,60
Harry McCallum,MA2,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,116.0,18.0,56
Harry Messenger,MA1,Scottish National Championships,215.0,28.0,63
Hugh Morris,MA2,North Fife Open,226.0,17.0,60
Hugh Watson,MPO,Scottish Matchplay Championships - Ides of Match,33,33.0,58
Hugh Watson,MA50,Scottish Open 2023 presented by Latitude 64,198.0,56.0,16
Hugh Watson,MA50,The Social at Bluebell Woods presented by Latitude 64,276.0,40.0,25
Hugh Watson,MA50,RRR : Rosshall-Ruchill Rumble 2023,131.0,40.0,19
Hugh Watson,MA50,GGO: Glasgow GIAB Open 2023,202.0,40.0,14
Iain MacKenzie (oggie),MA3,Farewell Fanmore ,246.0,29.0,42
Iain McDougall,MPO,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,188.0,2.0,116
Iain McGarrity,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,132.0,9.0,85
Iain McGarrity,MA1,Scottish Open 2023 presented by Latitude 64,161.0,12.0,98
Ian MacDougall (dingle),MA3,Farewell Fanmore ,252.0,33.0,34
Iestyn Crompton,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,214.0,19.0,68
Isaac McCauley,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf,1998.0,33.0,6
Isaac McCauley,MA2,The Irish Open '23,405.0,23.0,64
Isaac McCauley,MA1,Hyzer on the Hill DGC Stormont Estate 2023 - Sponsored By Whale Sacs,109.0,9.0,79
